wl,n,wl,k,
2.700E-01,1.36E+00,2.700E-01,1.32E+00,
2.800E-01,1.48E+00,2.800E-01,1.24E+00,
2.900E-01,1.53E+00,2.900E-01,1.17E+00,
3.000E-01,1.61E+00,3.000E-01,9.13E-01,
3.100E-01,1.37E+00,3.100E-01,5.19E-01,
3.200E-01,8.19E-01,3.200E-01,3.33E-01,
3.300E-01,2.21E-01,3.300E-01,6.78E-01,
3.400E-01,1.11E-01,3.400E-01,1.08E+00,
3.500E-01,8.44E-02,3.500E-01,1.34E+00,
3.600E-01,7.34E-02,3.600E-01,1.54E+00,
3.700E-01,6.73E-02,3.700E-01,1.70E+00,
3.800E-01,6.33E-02,3.800E-01,1.84E+00,
3.900E-01,6.04E-02,3.900E-01,1.97E+00,
4.000E-01,5.82E-02,4.000E-01,2.09E+00,
4.100E-01,5.65E-02,4.100E-01,2.20E+00,
4.200E-01,5.52E-02,4.200E-01,2.31E+00,
4.300E-01,5.41E-02,4.300E-01,2.41E+00,
4.400E-01,5.33E-02,4.400E-01,2.51E+00,
4.500E-01,5.27E-02,4.500E-01,2.61E+00,
4.600E-01,5.23E-02,4.600E-01,2.70E+00,
4.700E-01,5.20E-02,4.700E-01,2.80E+00,
4.800E-01,5.18E-02,4.800E-01,2.89E+00,
4.900E-01,5.18E-02,4.900E-01,2.97E+00,
5.000E-01,5.18E-02,5.000E-01,3.06E+00,
5.100E-01,5.19E-02,5.100E-01,3.15E+00,
5.200E-01,5.22E-02,5.200E-01,3.23E+00,
5.300E-01,5.25E-02,5.300E-01,3.32E+00,
5.400E-01,5.28E-02,5.400E-01,3.40E+00,
5.500E-01,5.33E-02,5.500E-01,3.48E+00,
5.600E-01,5.38E-02,5.600E-01,3.57E+00,
5.700E-01,5.43E-02,5.700E-01,3.65E+00,
5.800E-01,5.49E-02,5.800E-01,3.73E+00,
5.900E-01,5.56E-02,5.900E-01,3.81E+00,
6.000E-01,5.63E-02,6.000E-01,3.89E+00,
6.100E-01,5.71E-02,6.100E-01,3.97E+00,
6.200E-01,5.79E-02,6.200E-01,4.05E+00,
6.300E-01,5.88E-02,6.300E-01,4.13E+00,
6.400E-01,5.97E-02,6.400E-01,4.21E+00,
6.500E-01,6.06E-02,6.500E-01,4.28E+00,
6.600E-01,6.16E-02,6.600E-01,4.36E+00,
6.700E-01,6.26E-02,6.700E-01,4.44E+00,
6.800E-01,6.37E-02,6.800E-01,4.52E+00,
6.900E-01,6.48E-02,6.900E-01,4.59E+00,
7.000E-01,6.59E-02,7.000E-01,4.67E+00,
7.100E-01,6.71E-02,7.100E-01,4.75E+00,
7.200E-01,6.83E-02,7.200E-01,4.82E+00,
7.300E-01,6.95E-02,7.300E-01,4.90E+00,
7.400E-01,7.08E-02,7.400E-01,4.98E+00,
7.500E-01,7.21E-02,7.500E-01,5.05E+00,
7.600E-01,7.34E-02,7.600E-01,5.13E+00,
7.700E-01,7.48E-02,7.700E-01,5.20E+00,
7.800E-01,7.62E-02,7.800E-01,5.28E+00,
7.900E-01,7.76E-02,7.900E-01,5.35E+00,
8.000E-01,7.91E-02,8.000E-01,5.43E+00,
8.100E-01,8.06E-02,8.100E-01,5.50E+00,
8.200E-01,8.21E-02,8.200E-01,5.58E+00,
8.300E-01,8.36E-02,8.300E-01,5.65E+00,
8.400E-01,8.52E-02,8.400E-01,5.73E+00,
8.500E-01,8.68E-02,8.500E-01,5.80E+00,
8.600E-01,8.84E-02,8.600E-01,5.88E+00,
8.700E-01,9.01E-02,8.700E-01,5.95E+00,
8.800E-01,9.17E-02,8.800E-01,6.03E+00,
8.900E-01,9.35E-02,8.900E-01,6.10E+00,
9.000E-01,9.52E-02,9.000E-01,6.17E+00,
9.100E-01,9.69E-02,9.100E-01,6.25E+00,
9.200E-01,9.87E-02,9.200E-01,6.32E+00,
9.300E-01,1.01E-01,9.300E-01,6.40E+00,
9.400E-01,1.02E-01,9.400E-01,6.47E+00,
9.500E-01,1.04E-01,9.500E-01,6.54E+00,
9.600E-01,1.06E-01,9.600E-01,6.62E+00,
9.700E-01,1.08E-01,9.700E-01,6.69E+00,
9.800E-01,1.10E-01,9.800E-01,6.77E+00,
9.900E-01,1.12E-01,9.900E-01,6.84E+00,
1.000E+00,1.14E-01,1.000E+00,6.91E+00,
1.010E+00,1.16E-01,1.010E+00,6.99E+00,
1.020E+00,1.18E-01,1.020E+00,7.06E+00,
1.030E+00,1.20E-01,1.030E+00,7.13E+00,
1.040E+00,1.22E-01,1.040E+00,7.21E+00,
1.050E+00,1.24E-01,1.050E+00,7.28E+00,
1.060E+00,1.26E-01,1.060E+00,7.35E+00,
1.070E+00,1.29E-01,1.070E+00,7.43E+00,
1.080E+00,1.31E-01,1.080E+00,7.50E+00,
1.090E+00,1.33E-01,1.090E+00,7.57E+00,
1.100E+00,1.35E-01,1.100E+00,7.65E+00,
1.110E+00,1.37E-01,1.110E+00,7.72E+00,
1.120E+00,1.40E-01,1.120E+00,7.79E+00,
1.130E+00,1.42E-01,1.130E+00,7.86E+00,
1.140E+00,1.44E-01,1.140E+00,7.94E+00,
1.150E+00,1.47E-01,1.150E+00,8.01E+00,
1.160E+00,1.49E-01,1.160E+00,8.08E+00,
1.170E+00,1.51E-01,1.170E+00,8.16E+00,
1.180E+00,1.54E-01,1.180E+00,8.23E+00,
1.190E+00,1.56E-01,1.190E+00,8.30E+00,
1.200E+00,1.59E-01,1.200E+00,8.37E+00,
1.210E+00,1.61E-01,1.210E+00,8.45E+00,
1.220E+00,1.64E-01,1.220E+00,8.52E+00,
1.230E+00,1.66E-01,1.230E+00,8.59E+00,
1.240E+00,1.69E-01,1.240E+00,8.66E+00,
1.250E+00,1.71E-01,1.250E+00,8.74E+00,
1.260E+00,1.74E-01,1.260E+00,8.81E+00,
1.270E+00,1.76E-01,1.270E+00,8.87E+00,
1.280E+00,1.76E-01,1.280E+00,8.88E+00,
1.285E+00,1.79E-01,1.285E+00,8.94E+00,
1.290E+00,1.79E-01,1.290E+00,8.95E+00,
1.295E+00,1.81E-01,1.295E+00,9.02E+00,
1.300E+00,1.82E-01,1.300E+00,9.03E+00,
1.305E+00,1.84E-01,1.305E+00,9.09E+00,
1.310E+00,1.84E-01,1.310E+00,9.10E+00,
1.315E+00,1.87E-01,1.315E+00,9.17E+00,
1.320E+00,1.87E-01,1.320E+00,9.17E+00,
1.325E+00,1.90E-01,1.325E+00,9.24E+00,
1.330E+00,1.90E-01,1.330E+00,9.24E+00,
1.335E+00,1.92E-01,1.335E+00,9.30E+00,
1.340E+00,1.92E-01,1.340E+00,9.32E+00,
1.345E+00,1.95E-01,1.345E+00,9.38E+00,
1.350E+00,1.95E-01,1.350E+00,9.39E+00,
1.355E+00,1.97E-01,1.355E+00,9.44E+00,
1.360E+00,1.98E-01,1.360E+00,9.46E+00,
1.365E+00,2.00E-01,1.365E+00,9.52E+00,
1.370E+00,2.03E-01,1.370E+00,9.59E+00,
1.380E+00,2.06E-01,1.380E+00,9.67E+00,
1.390E+00,2.09E-01,1.390E+00,9.73E+00,
1.400E+00,2.12E-01,1.400E+00,9.82E+00,
1.410E+00,2.15E-01,1.410E+00,9.89E+00,
1.420E+00,2.18E-01,1.420E+00,9.95E+00,
1.430E+00,2.20E-01,1.430E+00,1.00E+01,
1.440E+00,2.21E-01,1.440E+00,1.00E+01,
1.445E+00,2.23E-01,1.445E+00,1.01E+01,
1.450E+00,2.24E-01,1.450E+00,1.01E+01,
1.455E+00,2.27E-01,1.455E+00,1.02E+01,
1.460E+00,2.27E-01,1.460E+00,1.02E+01,
1.465E+00,2.30E-01,1.465E+00,1.03E+01,
1.470E+00,2.30E-01,1.470E+00,1.03E+01,
1.475E+00,2.33E-01,1.475E+00,1.03E+01,
1.480E+00,2.33E-01,1.480E+00,1.03E+01,
1.485E+00,2.36E-01,1.485E+00,1.04E+01,
1.490E+00,2.36E-01,1.490E+00,1.04E+01,
1.495E+00,2.39E-01,1.495E+00,1.05E+01,
1.500E+00,2.39E-01,1.500E+00,1.05E+01,
1.505E+00,2.41E-01,1.505E+00,1.05E+01,
1.510E+00,2.42E-01,1.510E+00,1.05E+01,
1.515E+00,2.45E-01,1.515E+00,1.06E+01,
1.520E+00,2.46E-01,1.520E+00,1.06E+01,
1.525E+00,2.48E-01,1.525E+00,1.07E+01,
1.530E+00,2.49E-01,1.530E+00,1.07E+01,
1.535E+00,2.51E-01,1.535E+00,1.08E+01,
1.540E+00,2.52E-01,1.540E+00,1.08E+01,
1.545E+00,2.55E-01,1.545E+00,1.08E+01,
1.550E+00,2.55E-01,1.550E+00,1.08E+01,
1.555E+00,2.57E-01,1.555E+00,1.09E+01,
1.560E+00,2.58E-01,1.560E+00,1.09E+01,
1.565E+00,2.61E-01,1.565E+00,1.10E+01,
1.570E+00,2.62E-01,1.570E+00,1.10E+01,
1.575E+00,2.65E-01,1.575E+00,1.10E+01,
1.580E+00,2.65E-01,1.580E+00,1.11E+01,
1.585E+00,2.67E-01,1.585E+00,1.11E+01,
1.590E+00,2.68E-01,1.590E+00,1.11E+01,
1.595E+00,2.71E-01,1.595E+00,1.12E+01,
1.600E+00,2.71E-01,1.600E+00,1.12E+01,
1.605E+00,2.73E-01,1.605E+00,1.12E+01,
1.610E+00,2.75E-01,1.610E+00,1.13E+01,
1.615E+00,2.77E-01,1.615E+00,1.13E+01,
1.620E+00,2.78E-01,1.620E+00,1.13E+01,
1.625E+00,2.80E-01,1.625E+00,1.14E+01,
1.630E+00,2.81E-01,1.630E+00,1.14E+01,
1.635E+00,2.84E-01,1.635E+00,1.15E+01,
1.640E+00,2.85E-01,1.640E+00,1.15E+01,
1.645E+00,2.87E-01,1.645E+00,1.15E+01,
1.650E+00,2.88E-01,1.650E+00,1.16E+01,
1.655E+00,2.91E-01,1.655E+00,1.16E+01,
1.660E+00,2.92E-01,1.660E+00,1.16E+01,
1.665E+00,2.94E-01,1.665E+00,1.17E+01,
1.670E+00,2.95E-01,1.670E+00,1.17E+01,
1.675E+00,2.97E-01,1.675E+00,1.17E+01,
1.680E+00,2.99E-01,1.680E+00,1.18E+01,
1.685E+00,3.02E-01,1.685E+00,1.18E+01,
1.690E+00,3.02E-01,1.690E+00,1.18E+01,
1.695E+00,3.05E-01,1.695E+00,1.19E+01,
1.700E+00,3.06E-01,1.700E+00,1.19E+01,
1.705E+00,3.08E-01,1.705E+00,1.20E+01,
1.710E+00,3.09E-01,1.710E+00,1.20E+01,
1.715E+00,3.11E-01,1.715E+00,1.20E+01,
1.720E+00,3.13E-01,1.720E+00,1.21E+01,
1.725E+00,3.16E-01,1.725E+00,1.21E+01,
1.730E+00,3.16E-01,1.730E+00,1.21E+01,
1.735E+00,3.19E-01,1.735E+00,1.22E+01,
1.740E+00,3.20E-01,1.740E+00,1.22E+01,
1.745E+00,3.23E-01,1.745E+00,1.23E+01,
1.750E+00,3.24E-01,1.750E+00,1.23E+01,
1.755E+00,3.26E-01,1.755E+00,1.23E+01,
1.760E+00,3.27E-01,1.760E+00,1.23E+01,
1.765E+00,3.30E-01,1.765E+00,1.24E+01,
1.770E+00,3.31E-01,1.770E+00,1.24E+01,
1.775E+00,3.33E-01,1.775E+00,1.25E+01,
1.780E+00,3.35E-01,1.780E+00,1.25E+01,
1.785E+00,3.37E-01,1.785E+00,1.25E+01,
1.790E+00,3.38E-01,1.790E+00,1.26E+01,
1.795E+00,3.40E-01,1.795E+00,1.26E+01,
1.800E+00,3.42E-01,1.800E+00,1.26E+01,
1.805E+00,3.44E-01,1.805E+00,1.27E+01,
1.810E+00,3.46E-01,1.810E+00,1.27E+01,
1.815E+00,3.48E-01,1.815E+00,1.27E+01,
1.820E+00,3.49E-01,1.820E+00,1.28E+01,
1.825E+00,3.52E-01,1.825E+00,1.28E+01,
1.830E+00,3.53E-01,1.830E+00,1.28E+01,
1.835E+00,3.55E-01,1.835E+00,1.29E+01,
1.840E+00,3.57E-01,1.840E+00,1.29E+01,
1.845E+00,3.59E-01,1.845E+00,1.30E+01,
1.850E+00,3.61E-01,1.850E+00,1.30E+01,
1.855E+00,3.63E-01,1.855E+00,1.30E+01,
1.860E+00,3.65E-01,1.860E+00,1.31E+01,
1.865E+00,3.68E-01,1.865E+00,1.31E+01,
1.870E+00,3.69E-01,1.870E+00,1.31E+01,
1.875E+00,3.72E-01,1.875E+00,1.32E+01,
1.880E+00,3.73E-01,1.880E+00,1.32E+01,
1.885E+00,3.76E-01,1.885E+00,1.33E+01,
1.890E+00,3.76E-01,1.890E+00,1.33E+01,
1.895E+00,3.80E-01,1.895E+00,1.33E+01,
1.900E+00,3.80E-01,1.900E+00,1.33E+01,
1.905E+00,3.82E-01,1.905E+00,1.34E+01,
1.910E+00,3.84E-01,1.910E+00,1.34E+01,
1.915E+00,3.87E-01,1.915E+00,1.35E+01,
1.920E+00,3.88E-01,1.920E+00,1.35E+01,
1.925E+00,3.91E-01,1.925E+00,1.35E+01,
1.930E+00,3.92E-01,1.930E+00,1.36E+01,
1.935E+00,3.96E-01,1.935E+00,1.36E+01,
1.940E+00,3.98E-01,1.940E+00,1.37E+01,
1.945E+00,4.00E-01,1.945E+00,1.37E+01,
1.950E+00,4.03E-01,1.950E+00,1.38E+01,
1.960E+00,4.05E-01,1.960E+00,1.38E+01,
1.965E+00,4.08E-01,1.965E+00,1.38E+01,
1.970E+00,4.09E-01,1.970E+00,1.38E+01,
1.975E+00,4.13E-01,1.975E+00,1.39E+01,
1.980E+00,4.13E-01,1.980E+00,1.39E+01,
1.985E+00,4.15E-01,1.985E+00,1.40E+01,
1.990E+00,4.17E-01,1.990E+00,1.40E+01,
1.995E+00,4.20E-01,1.995E+00,1.41E+01,
2.000E+00,4.23E-01,2.000E+00,1.41E+01,
2.005E+00,4.25E-01,2.005E+00,1.41E+01,
2.010E+00,4.28E-01,2.010E+00,1.42E+01,
2.020E+00,4.33E-01,2.020E+00,1.43E+01,
2.030E+00,4.36E-01,2.030E+00,1.43E+01,
2.040E+00,4.41E-01,2.040E+00,1.44E+01,
2.050E+00,4.44E-01,2.050E+00,1.45E+01,
2.060E+00,4.50E-01,2.060E+00,1.45E+01,
2.070E+00,4.52E-01,2.070E+00,1.46E+01,
2.080E+00,4.58E-01,2.080E+00,1.47E+01,
2.090E+00,4.61E-01,2.090E+00,1.47E+01,
2.100E+00,4.67E-01,2.100E+00,1.48E+01,
2.110E+00,4.70E-01,2.110E+00,1.49E+01,
2.120E+00,4.76E-01,2.120E+00,1.50E+01,
2.130E+00,4.79E-01,2.130E+00,1.50E+01,
2.140E+00,4.85E-01,2.140E+00,1.51E+01,
2.150E+00,4.89E-01,2.150E+00,1.52E+01,
2.160E+00,4.92E-01,2.160E+00,1.52E+01,
2.170E+00,4.98E-01,2.170E+00,1.53E+01,
2.180E+00,5.02E-01,2.180E+00,1.54E+01,
2.190E+00,5.08E-01,2.190E+00,1.55E+01,
2.200E+00,5.12E-01,2.200E+00,1.55E+01,
2.210E+00,5.15E-01,2.210E+00,1.56E+01,
2.220E+00,5.22E-01,2.220E+00,1.57E+01,
