wl,n,wl,k,
2.230E+00,5.26E-01,2.230E+00,1.58E+01,
2.240E+00,5.29E-01,2.240E+00,1.58E+01,
2.250E+00,5.33E-01,2.250E+00,1.59E+01,
2.260E+00,5.40E-01,2.260E+00,1.60E+01,
2.270E+00,5.44E-01,2.270E+00,1.60E+01,
2.280E+00,5.48E-01,2.280E+00,1.61E+01,
2.285E+00,5.52E-01,2.285E+00,1.61E+01,
2.300E+00,5.59E-01,2.300E+00,1.63E+01,
2.310E+00,5.63E-01,2.310E+00,1.63E+01,
2.320E+00,5.67E-01,2.320E+00,1.64E+01,
2.325E+00,5.71E-01,2.325E+00,1.64E+01,
2.340E+00,5.79E-01,2.340E+00,1.66E+01,
2.350E+00,5.84E-01,2.350E+00,1.66E+01,
2.360E+00,5.88E-01,2.360E+00,1.67E+01,
2.370E+00,5.92E-01,2.370E+00,1.67E+01,
2.380E+00,5.96E-01,2.380E+00,1.68E+01,
2.385E+00,6.01E-01,2.385E+00,1.69E+01,
2.390E+00,6.05E-01,2.390E+00,1.69E+01,
2.410E+00,6.14E-01,2.410E+00,1.71E+01,
2.420E+00,6.19E-01,2.420E+00,1.71E+01,
2.430E+00,6.23E-01,2.430E+00,1.72E+01,
2.440E+00,6.28E-01,2.440E+00,1.72E+01,
2.450E+00,6.32E-01,2.450E+00,1.73E+01,
2.460E+00,6.37E-01,2.460E+00,1.74E+01,
2.470E+00,6.42E-01,2.470E+00,1.74E+01,
2.475E+00,6.47E-01,2.475E+00,1.75E+01,
2.480E+00,6.52E-01,2.480E+00,1.76E+01,
2.490E+00,6.57E-01,2.490E+00,1.77E+01,
2.500E+00,6.62E-01,2.500E+00,1.77E+01,
2.510E+00,6.67E-01,2.510E+00,1.78E+01,
2.520E+00,6.72E-01,2.520E+00,1.79E+01,
2.530E+00,6.77E-01,2.530E+00,1.79E+01,
2.540E+00,6.82E-01,2.540E+00,1.80E+01,
2.550E+00,6.88E-01,2.550E+00,1.81E+01,
2.560E+00,6.93E-01,2.560E+00,1.81E+01,
2.570E+00,6.99E-01,2.570E+00,1.82E+01,
2.580E+00,7.04E-01,2.580E+00,1.83E+01,
2.590E+00,7.10E-01,2.590E+00,1.84E+01,
2.600E+00,7.15E-01,2.600E+00,1.84E+01,
2.610E+00,7.21E-01,2.610E+00,1.85E+01,
2.620E+00,7.27E-01,2.620E+00,1.86E+01,
2.630E+00,7.33E-01,2.630E+00,1.87E+01,
2.650E+00,7.39E-01,2.650E+00,1.87E+01,
2.660E+00,7.45E-01,2.660E+00,1.88E+01,
2.670E+00,7.51E-01,2.670E+00,1.89E+01,
2.680E+00,7.57E-01,2.680E+00,1.90E+01,
2.690E+00,7.63E-01,2.690E+00,1.90E+01,
2.700E+00,7.70E-01,2.700E+00,1.91E+01,
2.710E+00,7.76E-01,2.710E+00,1.92E+01,
2.720E+00,7.82E-01,2.720E+00,1.93E+01,
2.730E+00,7.89E-01,2.730E+00,1.94E+01,
2.750E+00,7.96E-01,2.750E+00,1.95E+01,
2.760E+00,8.02E-01,2.760E+00,1.95E+01,
2.770E+00,8.09E-01,2.770E+00,1.96E+01,
2.780E+00,8.16E-01,2.780E+00,1.97E+01,
2.790E+00,8.23E-01,2.790E+00,1.98E+01,
2.810E+00,8.30E-01,2.810E+00,1.99E+01,
2.820E+00,8.37E-01,2.820E+00,2.00E+01,
2.830E+00,8.44E-01,2.830E+00,2.00E+01,
2.840E+00,8.52E-01,2.840E+00,2.01E+01,
2.860E+00,8.59E-01,2.860E+00,2.02E+01,
2.870E+00,8.67E-01,2.870E+00,2.03E+01,
2.880E+00,8.74E-01,2.880E+00,2.04E+01,
2.890E+00,8.82E-01,2.890E+00,2.05E+01,
2.910E+00,8.90E-01,2.910E+00,2.06E+01,
2.920E+00,8.98E-01,2.920E+00,2.07E+01,
2.930E+00,9.06E-01,2.930E+00,2.08E+01,
2.950E+00,9.14E-01,2.950E+00,2.09E+01,
2.960E+00,9.23E-01,2.960E+00,2.10E+01,
2.970E+00,9.31E-01,2.970E+00,2.11E+01,
2.990E+00,9.39E-01,2.990E+00,2.12E+01,
3.000E+00,9.48E-01,3.000E+00,2.13E+01,
3.010E+00,9.57E-01,3.010E+00,2.14E+01,
3.030E+00,9.66E-01,3.030E+00,2.15E+01,
3.040E+00,9.75E-01,3.040E+00,2.16E+01,
3.060E+00,9.84E-01,3.060E+00,2.17E+01,
3.070E+00,9.93E-01,3.070E+00,2.18E+01,
3.090E+00,1.00E+00,3.090E+00,2.19E+01,
3.100E+00,1.01E+00,3.100E+00,2.20E+01,
3.120E+00,1.02E+00,3.120E+00,2.21E+01,
3.130E+00,1.03E+00,3.130E+00,2.22E+01,
3.150E+00,1.04E+00,3.150E+00,2.23E+01,
3.160E+00,1.05E+00,3.160E+00,2.24E+01,
3.180E+00,1.06E+00,3.180E+00,2.25E+01,
3.190E+00,1.07E+00,3.190E+00,2.26E+01,
3.210E+00,1.08E+00,3.210E+00,2.27E+01,
3.220E+00,1.09E+00,3.220E+00,2.28E+01,
3.240E+00,1.10E+00,3.240E+00,2.30E+01,
3.260E+00,1.12E+00,3.260E+00,2.31E+01,
3.270E+00,1.13E+00,3.270E+00,2.32E+01,
3.290E+00,1.14E+00,3.290E+00,2.33E+01,
3.310E+00,1.15E+00,3.310E+00,2.34E+01,
3.320E+00,1.16E+00,3.320E+00,2.35E+01,
3.340E+00,1.17E+00,3.340E+00,2.37E+01,
3.360E+00,1.19E+00,3.360E+00,2.38E+01,
3.380E+00,1.20E+00,3.380E+00,2.39E+01,
3.390E+00,1.21E+00,3.390E+00,2.40E+01,
3.410E+00,1.22E+00,3.410E+00,2.42E+01,
3.430E+00,1.24E+00,3.430E+00,2.43E+01,
3.450E+00,1.25E+00,3.450E+00,2.44E+01,
3.470E+00,1.26E+00,3.470E+00,2.45E+01,
3.480E+00,1.28E+00,3.480E+00,2.47E+01,
3.500E+00,1.29E+00,3.500E+00,2.48E+01,
3.520E+00,1.30E+00,3.520E+00,2.49E+01,
3.540E+00,1.32E+00,3.540E+00,2.51E+01,
3.560E+00,1.33E+00,3.560E+00,2.52E+01,
3.580E+00,1.35E+00,3.580E+00,2.54E+01,
3.600E+00,1.36E+00,3.600E+00,2.55E+01,
3.620E+00,1.38E+00,3.620E+00,2.56E+01,
3.640E+00,1.39E+00,3.640E+00,2.58E+01,
3.660E+00,1.41E+00,3.660E+00,2.59E+01,
3.680E+00,1.42E+00,3.680E+00,2.61E+01,
3.700E+00,1.44E+00,3.700E+00,2.62E+01,
3.720E+00,1.46E+00,3.720E+00,2.64E+01,
3.750E+00,1.47E+00,3.750E+00,2.65E+01,
3.770E+00,1.49E+00,3.770E+00,2.67E+01,
3.790E+00,1.51E+00,3.790E+00,2.68E+01,
3.810E+00,1.52E+00,3.810E+00,2.70E+01,
3.830E+00,1.54E+00,3.830E+00,2.71E+01,
3.860E+00,1.56E+00,3.860E+00,2.73E+01,
3.880E+00,1.58E+00,3.880E+00,2.75E+01,
3.900E+00,1.60E+00,3.900E+00,2.76E+01,
3.930E+00,1.62E+00,3.930E+00,2.78E+01,
3.950E+00,1.64E+00,3.950E+00,2.80E+01,
3.980E+00,1.66E+00,3.980E+00,2.81E+01,
4.000E+00,1.68E+00,4.000E+00,2.83E+01,
4.030E+00,1.70E+00,4.030E+00,2.85E+01,
4.050E+00,1.72E+00,4.050E+00,2.87E+01,
4.080E+00,1.74E+00,4.080E+00,2.88E+01,
4.100E+00,1.76E+00,4.100E+00,2.90E+01,
4.130E+00,1.78E+00,4.130E+00,2.92E+01,
4.150E+00,1.81E+00,4.150E+00,2.94E+01,
4.180E+00,1.83E+00,4.180E+00,2.96E+01,
4.210E+00,1.85E+00,4.210E+00,2.98E+01,
4.240E+00,1.88E+00,4.240E+00,3.00E+01,
4.260E+00,1.90E+00,4.260E+00,3.02E+01,
4.290E+00,1.93E+00,4.290E+00,3.04E+01,
4.320E+00,1.95E+00,4.320E+00,3.06E+01,
4.350E+00,1.98E+00,4.350E+00,3.08E+01,
4.380E+00,2.00E+00,4.380E+00,3.10E+01,
4.410E+00,2.03E+00,4.410E+00,3.12E+01,
4.440E+00,2.06E+00,4.440E+00,3.14E+01,
4.470E+00,2.09E+00,4.470E+00,3.16E+01,
4.500E+00,2.12E+00,4.500E+00,3.18E+01,
4.530E+00,2.15E+00,4.530E+00,3.20E+01,
4.560E+00,2.18E+00,4.560E+00,3.23E+01,
4.600E+00,2.21E+00,4.600E+00,3.25E+01,
4.630E+00,2.24E+00,4.630E+00,3.27E+01,
4.660E+00,2.27E+00,4.660E+00,3.30E+01,
4.700E+00,2.30E+00,4.700E+00,3.32E+01,
4.730E+00,2.33E+00,4.730E+00,3.34E+01,
4.770E+00,2.37E+00,4.770E+00,3.37E+01,
4.800E+00,2.40E+00,4.800E+00,3.39E+01,
4.840E+00,2.44E+00,4.840E+00,3.42E+01,
4.870E+00,2.47E+00,4.870E+00,3.44E+01,
4.910E+00,2.51E+00,4.910E+00,3.47E+01,
4.950E+00,2.55E+00,4.950E+00,3.49E+01,
4.990E+00,2.59E+00,4.990E+00,3.52E+01,
5.020E+00,2.63E+00,5.020E+00,3.55E+01,
5.060E+00,2.67E+00,5.060E+00,3.57E+01,
5.100E+00,2.71E+00,5.100E+00,3.60E+01,
5.140E+00,2.75E+00,5.140E+00,3.63E+01,
5.180E+00,2.80E+00,5.180E+00,3.66E+01,
5.230E+00,2.84E+00,5.230E+00,3.69E+01,
5.270E+00,2.89E+00,5.270E+00,3.72E+01,
5.310E+00,2.93E+00,5.310E+00,3.75E+01,
5.360E+00,2.98E+00,5.360E+00,3.78E+01,
5.400E+00,3.03E+00,5.400E+00,3.81E+01,
5.450E+00,3.08E+00,5.450E+00,3.84E+01,
5.490E+00,3.13E+00,5.490E+00,3.87E+01,
5.540E+00,3.19E+00,5.540E+00,3.91E+01,
5.590E+00,3.24E+00,5.590E+00,3.94E+01,
5.640E+00,3.29E+00,5.640E+00,3.97E+01,
5.680E+00,3.35E+00,5.680E+00,4.01E+01,
5.740E+00,3.41E+00,5.740E+00,4.04E+01,
5.790E+00,3.47E+00,5.790E+00,4.08E+01,
5.840E+00,3.53E+00,5.840E+00,4.11E+01,
5.890E+00,3.60E+00,5.890E+00,4.15E+01,
5.950E+00,3.66E+00,5.950E+00,4.19E+01,
6.000E+00,3.73E+00,6.000E+00,4.22E+01,
6.060E+00,3.80E+00,6.060E+00,4.26E+01,
6.110E+00,3.87E+00,6.110E+00,4.30E+01,
6.170E+00,3.94E+00,6.170E+00,4.34E+01,
6.230E+00,4.01E+00,6.230E+00,4.38E+01,
6.290E+00,4.09E+00,6.290E+00,4.42E+01,
6.350E+00,4.17E+00,6.350E+00,4.47E+01,
6.420E+00,4.25E+00,6.420E+00,4.51E+01,
6.480E+00,4.33E+00,6.480E+00,4.55E+01,
6.550E+00,4.42E+00,6.550E+00,4.60E+01,
6.610E+00,4.51E+00,6.610E+00,4.64E+01,
6.680E+00,4.60E+00,6.680E+00,4.69E+01,
6.750E+00,4.69E+00,6.750E+00,4.74E+01,
6.820E+00,4.79E+00,6.820E+00,4.79E+01,
6.890E+00,4.89E+00,6.890E+00,4.84E+01,
6.970E+00,4.99E+00,6.970E+00,4.89E+01,
7.040E+00,5.10E+00,7.040E+00,4.94E+01,
7.120E+00,5.21E+00,7.120E+00,4.99E+01,
7.200E+00,5.32E+00,7.200E+00,5.04E+01,
7.280E+00,5.44E+00,7.280E+00,5.10E+01,
7.360E+00,5.56E+00,7.360E+00,5.16E+01,
7.450E+00,5.68E+00,7.450E+00,5.21E+01,
7.540E+00,5.81E+00,7.540E+00,5.27E+01,
7.620E+00,5.94E+00,7.620E+00,5.33E+01,
7.720E+00,6.08E+00,7.720E+00,5.39E+01,
7.810E+00,6.23E+00,7.810E+00,5.45E+01,
7.900E+00,6.37E+00,7.900E+00,5.52E+01,
8.000E+00,6.53E+00,8.000E+00,5.58E+01,
8.100E+00,6.68E+00,8.100E+00,5.65E+01,
8.200E+00,6.85E+00,8.200E+00,5.72E+01,
8.310E+00,7.02E+00,8.310E+00,5.79E+01,
8.420E+00,7.20E+00,8.420E+00,5.86E+01,
8.530E+00,7.38E+00,8.530E+00,5.94E+01,
8.640E+00,7.57E+00,8.640E+00,6.01E+01,
8.760E+00,7.77E+00,8.760E+00,6.09E+01,
8.880E+00,7.97E+00,8.880E+00,6.17E+01,
9.000E+00,8.19E+00,9.000E+00,6.25E+01,
9.130E+00,8.41E+00,9.130E+00,6.33E+01,
9.260E+00,8.64E+00,9.260E+00,6.42E+01,
9.390E+00,8.88E+00,9.390E+00,6.51E+01,
9.530E+00,9.13E+00,9.530E+00,6.60E+01,
9.670E+00,9.39E+00,9.670E+00,6.69E+01,
9.820E+00,9.67E+00,9.820E+00,6.79E+01,
9.970E+00,9.95E+00,9.970E+00,6.89E+01,
1.010E+01,1.03E+01,1.010E+01,6.99E+01,
1.030E+01,1.06E+01,1.030E+01,7.09E+01,
1.050E+01,1.09E+01,1.050E+01,7.20E+01,
1.060E+01,1.12E+01,1.060E+01,7.31E+01,
1.080E+01,1.16E+01,1.080E+01,7.42E+01,
1.100E+01,1.20E+01,1.100E+01,7.54E+01,
1.120E+01,1.23E+01,1.120E+01,7.66E+01,
1.140E+01,1.28E+01,1.140E+01,7.78E+01,
1.160E+01,1.32E+01,1.160E+01,7.91E+01,
1.180E+01,1.36E+01,1.180E+01,8.04E+01,
1.200E+01,1.41E+01,1.200E+01,8.18E+01,
1.220E+01,1.46E+01,1.220E+01,8.32E+01,
1.250E+01,1.51E+01,1.250E+01,8.47E+01,
1.270E+01,1.57E+01,1.270E+01,8.62E+01,
1.300E+01,1.63E+01,1.300E+01,8.77E+01,
1.320E+01,1.69E+01,1.320E+01,8.94E+01,
1.350E+01,1.75E+01,1.350E+01,9.10E+01,
1.380E+01,1.82E+01,1.380E+01,9.28E+01,
1.410E+01,1.89E+01,1.410E+01,9.46E+01,
1.440E+01,1.97E+01,1.440E+01,9.64E+01,
1.470E+01,2.05E+01,1.470E+01,9.84E+01,
1.510E+01,2.14E+01,1.510E+01,1.00E+02,
1.540E+01,2.23E+01,1.540E+01,1.03E+02,
1.580E+01,2.33E+01,1.580E+01,1.05E+02,
1.620E+01,2.43E+01,1.620E+01,1.07E+02,
1.660E+01,2.54E+01,1.660E+01,1.09E+02,
1.710E+01,2.66E+01,1.710E+01,1.12E+02,
1.750E+01,2.79E+01,1.750E+01,1.14E+02,
1.800E+01,2.92E+01,1.800E+01,1.17E+02,
1.850E+01,3.07E+01,1.850E+01,1.20E+02,
1.910E+01,3.22E+01,1.910E+01,1.23E+02,
1.960E+01,3.39E+01,1.960E+01,1.26E+02,
2.030E+01,3.57E+01,2.030E+01,1.29E+02,
2.090E+01,3.76E+01,2.090E+01,1.32E+02,
2.160E+01,3.97E+01,2.160E+01,1.36E+02,
2.240E+01,4.19E+01,2.240E+01,1.39E+02,
2.310E+01,4.43E+01,2.310E+01,1.43E+02,
2.400E+01,4.69E+01,2.400E+01,1.47E+02,
2.490E+01,4.98E+01,2.490E+01,1.51E+02,
