wl,n,wl,k
0.31,1.553923347,0.31,5.00E-05
0.3529,1.544418816,0.32,1.38E-05
0.3958,1.537794371,0.33,6.28E-06
0.4387,1.532976444,0.34,2.71E-06
0.4816,1.529347097,0.35,1.12E-06
0.5245,1.52653023,0.36,5.42E-07
0.5674,1.524286299,0.37,4.06E-07
0.6103,1.522456865,0.38,5.94E-07
0.6532,1.520933742,0.39,2.83E-07
0.6961,1.519641015,0.4,2.05E-07
0.739,1.518524145,0.41,2.18E-07
0.7819,1.517543129,0.42,2.28E-07
0.8248,1.516668089,0.43,2.40E-07
0.8677,1.515876346,0.44,2.34E-07
0.9106,1.515150433,0.45,1.93E-07
0.9535,1.514476723,0.46,1.67E-07
0.9964,1.513844457,0.47,1.70E-07
1.039,1.513249144,0.48,1.68E-07
1.082,1.512674206,0.49,1.55E-07
1.125,1.512119704,0.5,1.49E-07
1.168,1.511580989,0.51,1.50E-07
1.211,1.511054227,0.52,1.58E-07
1.254,1.510536226,0.53,1.77E-07
1.297,1.510024316,0.54,1.99E-07
1.34,1.509516248,0.55,2.20E-07
1.383,1.509010118,0.56,2.53E-07
1.425,1.508516073,0.57,3.05E-07
1.468,1.508009224,0.58,3.56E-07
1.511,1.507500133,0.59,4.00E-07
1.554,1.506987768,0.6,4.55E-07
1.597,1.50647123,0.61,5.22E-07
1.64,1.505949739,0.62,5.97E-07
1.683,1.505422612,0.63,6.91E-07
1.726,1.504889251,0.64,7.75E-07
1.769,1.504349128,0.65,8.37E-07
1.812,1.503801779,0.66,9.11E-07
1.854,1.503259789,0.67,1.01E-06
1.897,1.502696989,0.68,1.10E-06
1.94,1.502125867,0.69,1.16E-06
1.983,1.501546132,0.7,1.23E-06
2.026,1.500957522,0.71,1.35E-06
2.069,1.500359805,0.72,1.47E-06
2.112,1.499752769,0.73,1.59E-06
2.155,1.499136224,0.74,1.71E-06
2.198,1.49851,0.75,1.83E-06
2.241,1.497873941,0.76,1.96E-06
2.283,1.497243046,0.77,2.09E-06
2.326,1.496587146,0.78,2.21E-06
2.369,1.495921029,0.79,2.35E-06
2.412,1.495244589,0.8,2.48E-06
2.455,1.49455773,0.81,2.62E-06
2.498,1.493860363,0.82,2.76E-06
2.541,1.493152406,0.83,2.89E-06
2.584,1.492433785,0.84,3.02E-06
2.627,1.491704431,0.85,3.15E-06
2.67,1.490964282,0.86,3.27E-06
2.712,1.490230868,0.87,3.39E-06
2.755,1.489469212,0.88,3.51E-06
2.798,1.4886966,0.89,3.62E-06
2.841,1.487912987,0.9,3.73E-06
2.884,1.48711833,0.91,3.82E-06
2.927,1.486312589,0.92,3.91E-06
2.97,1.485495728,0.93,4.00E-06
3.013,1.484667714,0.94,4.08E-06
3.056,1.483828514,0.95,4.17E-06
3.099,1.4829781,0.96,4.26E-06
3.141,1.482136609,0.97,4.35E-06
3.184,1.481263947,0.98,4.43E-06
3.227,1.480379993,0.99,4.51E-06
3.27,1.479484726,1,4.59E-06
3.313,1.478578125,1.1,5.11E-06
3.356,1.477660169,1.2,5.37E-06
3.399,1.476730841,1.3,5.35E-06
3.442,1.475790124,1.4,4.94E-06
3.485,1.474838001,1.5,4.23E-06
3.528,1.473874457,1.6,3.68E-06
3.57,1.472922281,1.7,3.66E-06
3.613,1.47193612,1.8,3.92E-06
3.656,1.470938498,1.9,4.19E-06
3.699,1.469929402,2,4.42E-06
3.742,1.468908823,2.1,4.48E-06
3.785,1.467876749,2.2,5.37E-06
3.828,1.46683317,2.3,5.08E-06
3.871,1.465778077,2.4,5.37E-06
3.914,1.46471146,2.5,6.32E-06
3.957,1.463633313,2.6,6.88E-06
3.999,1.462569098,2.7,1.02E-05
4.042,1.461468132,2.8,6.50E-05
4.085,1.460355611,2.9,7.93E-05
4.128,1.45923153,3,7.43E-05
4.171,1.458095881,3.1,7.42E-05
4.214,1.456948658,3.2,8.19E-05
4.257,1.455789855,3.3,9.34E-05
4.3,1.454619468,3.4,9.96E-05
4.343,1.45343749,3.5,1.07E-04
4.386,1.452243917,3.6,1.07E-04
4.428,1.451066903,3.7,1.05E-04
4.471,1.449850395,3.8,1.03E-04
4.514,1.448622277,3.9,1.03E-04
4.557,1.447382547,4,1.06E-04
4.6,1.4461312,4.1,1.22E-04
5,1.397,4.2,1.44E-04
6,1.323,4.3,1.78E-04
7,1.152,4.4,2.25E-04
8,0.939,4.5,2.98E-04
8.2,0.822,4.6,7.44E-04
8.4,0.624,5,0.003
8.5,0.613,6,0.005
8.7,0.684,7,0.008
9,0.736,8,0.028
9.2,0.812,8.2,0.061
9.4,0.971,8.4,0.216
9.5,1.085,8.5,0.354
9.6,1.209,8.7,0.543
9.8,1.479,9,0.759
10,1.707,9.2,0.938
10.5,1.956,9.4,1.123
11,1.994,9.5,1.187
11.5,1.864,9.6,1.232
12,1.733,9.8,1.24
12.5,1.612,10,1.123
13,1.606,10.5,0.809
13.5,1.615,11,0.485
14,1.615,11.5,0.286
14.5,1.558,12,0.222
15,1.554,12.5,0.244
15.5,1.546,13,0.306
16,1.511,13.5,0.304
16.5,1.468,14,0.28
17,1.433,14.5,0.269
17.5,1.401,15,0.299
18,1.328,15.5,0.288
18.5,1.216,16,0.278
19,1.108,16.5,0.288
19.5,1.069,17,0.309
20,1.177,17.5,0.322
21,1.519,18,0.329
22,1.931,18.5,0.382
23,2.196,19,0.521
24,2.263,19.5,0.76
25,2.223,20,0.966
27,2.139,21,1.223
30,2.035,22,1.216
35,1.96,23,0.988
40,1.969,24,0.746
45,2.033,25,0.582
50,2.099,27,0.462
60,2.199,30,0.381
70,2.274,35,0.421
80,2.333,40,0.487
90,2.384,45,0.538
100,2.426,50,0.545
150,2.547,60,0.536
200,2.592,70,0.515
300,2.608,80,0.493
